	Geneid	Gene symbol	Gene name	Fold Change	q-value (%)	Negative Fold Change
NM_019052	54535.0	CCHCR1	coiled-coil alpha-helical rod protein 1	1.95306757	3.797649	
NM_006835	10983.0	CCNI	cyclin I	2.08064216	3.797649	
NM_006110	10421.0	CD2BP2	CD2 (cytoplasmic tail) binding protein 2	2.10466431	1.4706181	
NM_152854	958.0	CD40	CD40 molecule, TNF receptor superfamily member 5	0.46981477	4.9341886	-2.128498429
NM_001250	958.0	CD40	CD40 molecule, TNF receptor superfamily member 5	0.37335477	2.6012277000000004	-2.678417635
NM_001779	965.0	CD58	CD58 molecule	0.30456511	2.5903232000000003	-3.28337018
NM_001785	978.0	CDA	cytidine deaminase	2.25995084	3.797649	
NM_004359	997.0	CDC34	cell division cycle 34	2.21129053	1.219488	
NM_007065	11140.0	CDC37	CDC37 cell division cycle 37 homolog (S. cerevisiae)	2.54095613	2.1038158	
NM_145057	148170.0	CDC42EP5	CDC42 effector protein (Rho GTPase binding) 5	2.44188645	2.1038158	
NM_001257	1012.0	CDH13	cadherin 13, H-cadherin (heart)	0.32451013	1.7079054	-3.081567901
NM_005851	10263.0	CDK2AP2	CDK2-associated protein 2	2.32116113	3.3991674	
NM_000075	1019.0	CDK4	cyclin-dependent kinase 4	2.808923	0.637618	
NM_001011649	55755.0	CDK5RAP2	CDK5 regulatory subunit associated protein 2	0.40278896	3.3991674	-2.4826896940000003
NM_018249	55755.0	CDK5RAP2	CDK5 regulatory subunit associated protein 2	0.40278896	3.3991674	-2.4826896940000003
NM_000077	1029.0	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	2.85063685	0.8855806	
NM_058195	1029.0	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	2.87458865	1.219488	
NM_058197	1029.0	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	2.23613957	1.219488	
NM_030928	81620.0	CDT1	DNA replication factor	2.15534529	2.5903232000000003	
NM_005760	10153.0	CEBPZ	CCAAT/enhancer binding protein zeta	0.30521099	1.7079054	-3.276421993
NM_001812	1060.0	CENPC1	centromere protein C 1	0.33260686	3.6724242999999994	-3.006552541
NM_015230	116984.0	CENTD1	centaurin, delta 1	0.25301928	1.7079054	-3.952267985
NM_139182	116984.0	CENTD1	centaurin, delta 1	0.25301928	1.7079054	-3.952267985
NM_025009	9662.0	CEP135	centrosomal protein 135kDa	0.39512409	2.0161834	-2.530850498
NM_018069	55125.0	CEP192	centrosomal protein 192kDa	0.27287847	1.7079054	-3.66463503
NM_032142	55125.0	CEP192	centrosomal protein 192kDa	0.27287847	1.7079054	-3.66463503
NM_016016	51629.0	CGI-69	CGI-69 protein	4.7302902	0.637618	
NM_016139	51142.0	CHCHD2	coiled-coil-helix-coiled-coil-helix domain containing 2	2.71230741	0.637618	
NM_017812	54927.0	CHCHD3	coiled-coil-helix-coiled-coil-helix domain containing 3	2.01672285	2.6012277000000004	
NM_144636	131474.0	CHCHD4	coiled-coil-helix-coiled-coil-helix domain containing 4	2.70358091	3.2351467	
NM_032309	84269.0	CHCHD5	coiled-coil-helix-coiled-coil-helix domain containing 5	2.43114244	1.4706181	
NM_001011671	79145.0	CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7	1.95860089	4.3199052	
NM_001011668	79145.0	CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7	1.99575943	3.797649	
NM_024300	79145.0	CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7	1.99575943	3.797649	
NM_014169	29082.0	CHMP4A	chromatin modifying protein 4A	1.97716001	2.6012277000000004	
NM_152272	91782.0	CHMP7	CHMP family, member 7	2.16057776	3.753678	
NM_018413	50515.0	CHST11	carbohydrate (chondroitin 4) sulfotransferase 11	1.89335853	1.5613079	
NM_018641	55501.0	CHST12	carbohydrate (chondroitin 4) sulfotransferase 12	0.35475459	1.7079054	-2.818850068
NM_004267	9435.0	CHST2	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2	2.44121303	3.3991674	
NM_022092	63922.0	CHTF18	CTF18, chromosome transmission fidelity factor 18 homolog (S. cerevisiae)	1.89810254	4.9341886	
NM_006384	10519.0	CIB1	calcium and integrin binding 1 (calmyrin)	2.3737294999999996	3.797649	
NM_006383	10518.0	CIB2	calcium and integrin binding family member 2	1.77801168	2.5903232000000003	
NM_001008938	9793.0	CKAP5	cytoskeleton associated protein 5	0.34382637	4.3199052	-2.908444748
NM_014756	9793.0	CKAP5	cytoskeleton associated protein 5	0.34382637	4.3199052	-2.908444748
NM_012128	22802.0	CLCA4	chloride channel, calcium activated, family member 4	8.96198195	0.0	
NM_194284	137075.0	CLDN23	claudin 23	3.22853921	0.637618	
NM_001288	1192.0	CLIC1	chloride intracellular channel 1	2.25485797	2.3206861	
NM_018941	2055.0	CLN8	ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)	1.68918097	4.6110465	
NM_006012	8192.0	CLPP	ClpP caseinolytic peptidase, ATP-dependent, proteolytic subunit homolog (E. coli)	1.89945234	4.6110465	
NM_001834	1212.0	CLTB	clathrin, light polypeptide (Lcb)	3.77318218	0.637618	
NM_007097	1212.0	CLTB	clathrin, light polypeptide (Lcb)	3.56767104	0.637618	
NM_004859	1213.0	CLTC	clathrin, heavy polypeptide (Hc)	0.46870657	3.2351467	-2.133531006
NM_004368	1265.0	CNN2	calponin 2	1.93756788	3.753678	
NM_201277	1265.0	CNN2	calponin 2	1.93756788	3.753678	
NM_018366	55330.0	CNO	cappuccino homolog (mouse)	2.20950907	1.9393426	
NM_054026	29883.0	CNOT7	CCR4-NOT transcription complex, subunit 7	1.65823862	4.9341886	
NM_033641	1288.0	COL4A6	collagen, type IV, alpha 6	0.31200895	1.7079054	-3.205036266
NM_001847	1288.0	COL4A6	collagen, type IV, alpha 6	0.31200895	1.7079054	-3.205036266
NM_000393	1290.0	COL5A2	collagen, type V, alpha 2	3.0652551	0.637618	
NM_203495	170622.0	COMMD6	COMM domain containing 6	1.89864753	4.6110465	
NM_203497	170622.0	COMMD6	COMM domain containing 6	1.90060167	3.9508566	
NM_144589	118881.0	COMTD1	catechol-O-methyltransferase domain containing 1	2.11938429	3.9508566	
NM_199444	11316.0	COPE	coatomer protein complex, subunit epsilon	3.30365068	0.8369687	
NM_199442	11316.0	COPE	coatomer protein complex, subunit epsilon	3.4030581	0.8855806	
NM_007263	11316.0	COPE	coatomer protein complex, subunit epsilon	3.4030581	0.8855806	
NM_006833	10980.0	COPS6	COP9 constitutive photomorphogenic homolog subunit 6 (Arabidopsis)	2.4453462000000004	1.9982331000000002	
NM_016319	50813.0	COPS7A	COP9 constitutive photomorphogenic homolog subunit 7A (Arabidopsis)	2.41373924	1.5613079	
NM_022730	64708.0	COPS7B	COP9 constitutive photomorphogenic homolog subunit 7B (Arabidopsis)	2.10631553	3.9508566	
NM_015697	27235.0	COQ2	coenzyme Q2 homolog, prenyltransferase (yeast)	0.48149393	3.753678	-2.07686938
NM_021149	23406.0	COTL1	coactosin-like 1 (Dictyostelium)	2.47216319	1.0218237	
NM_005694	10063.0	COX17	COX17 cytochrome c oxidase assembly homolog (S. cerevisiae)	2.51443207	1.9393426	
NM_001862	1329.0	COX5B	cytochrome c oxidase subunit Vb	2.05599804	2.5903232000000003	
NM_001863	1340.0	COX6B1	cytochrome c oxidase subunit Vib polypeptide 1 (ubiquitous)	2.12321852	3.2351467	
NM_001865	1347.0	COX7A2	cytochrome c oxidase subunit VIIa polypeptide 2 (liver)	1.68625061	3.9508566	
NM_153634	144402.0	CPNE8	copine VIII	0.34890365	2.0161834	-2.8661207760000003
NM_001875	1373.0	CPS1	carbamoyl-phosphate synthetase 1, mitochondrial	0.35059396	2.0161834	-2.8523024180000003
NM_006693	10898.0	CPSF4	cleavage and polyadenylation specific factor 4, 30kDa	2.0077912	3.2351467	
NM_006368	10488.0	CREB3	cAMP responsive element binding protein 3	2.75275752	1.0218237	
NM_001312	1397.0	CRIP2	cysteine-rich protein 2	2.26028145	2.5903232000000003	
NM_019095	54675.0	CRLS1	cardiolipin synthase 1	3.22478213	0.8369687	
NM_004229	9282.0	CRSP2	cofactor required for Sp1 transcriptional activation, subunit 2, 150kDa	0.47052626	4.6110465	-2.125279894
NM_004830	9439.0	CRSP3	cofactor required for Sp1 transcriptional activation, subunit 3, 130kDa	0.43512415	2.0161834	-2.298194665
NM_001885	1410.0	CRYAB	crystallin, alpha B	3.86267385	0.637618	
NM_139062	1453.0	CSNK1D	casein kinase 1, delta	2.19755295	0.637618	
NM_001893	1453.0	CSNK1D	casein kinase 1, delta	2.0690596	1.219488	
NM_005445	9126.0	CSPG6	chondroitin sulfate proteoglycan 6 (bamacan)	0.26160391	2.5903232000000003	-3.822572835
NM_004078	1465.0	CSRP1	cysteine and glycine-rich protein 1	2.40907655	3.2351467	
NM_001321	1466.0	CSRP2	cysteine and glycine-rich protein 2	3.52211666	0.637618	
NM_001323	1474.0	CST6	cystatin E/M	10.12188893	0.0	
NM_015703	27341.0	CTA-126B4.3	CGI-96 protein	2.05036901	2.3697766	
NM_001013694	402055.0	CTB-1048E9.5	similar to SRR1-like protein	2.10482101	2.3206861	
NM_000396	1513.0	CTSK	cathepsin K (pycnodysostosis)	0.41622344	2.6012277000000004	-2.402555704
NM_001912	1514.0	CTSL	cathepsin L	0.41778187	3.2351467	-2.393593576
NM_145918	1514.0	CTSL	cathepsin L	0.41778187	3.2351467	-2.393593576
NM_138565	2017.0	CTTN	cortactin	2.9485861	0.637618	
NM_005231	2017.0	CTTN	cortactin	2.9485861	0.637618	
NM_018704	55917.0	CTTNBP2NL	CTTNBP2 N-terminal like	0.53571059	4.6110465	-1.8666795440000001
NM_024040	79004.0	CUEDC2	CUE domain containing 2	2.23891938	2.3697766	
NM_003591	8453.0	CUL2	cullin 2	0.27013329	1.7079054	-3.701876211
NM_015960	51076.0	CUTC	cutC copper transporter homolog (E. coli)	2.38107505	3.797649	
NM_001913	1523.0	CUTL1	cut-like 1, CCAAT displacement protein (Drosophila)	1.91279888	1.9982331000000002	
NM_181500	1523.0	CUTL1	cut-like 1, CCAAT displacement protein (Drosophila)	1.91279888	1.9982331000000002	
NM_207318	139231.0	CXorf39	chromosome X open reading frame 39	2.29776307	1.4567723	
NM_014593	30827.0	CXXC1	CXXC finger 1 (PHD domain)	2.89266981	0.637618	
NM_016463	51523.0	CXXC5	CXXC finger 5	2.87004664	2.5903232000000003	
NM_001914	1528.0	CYB5A	cytochrome b5 type A (microsomal)	2.70972286	3.3991674	
NM_148923	1528.0	CYB5A	cytochrome b5 type A (microsomal)	2.81628364	2.5903232000000003	
NM_016229	51700.0	CYB5R2	cytochrome b5 reductase 2	2.96264318	1.0218237	
NM_001001336	51700.0	CYB5R2	cytochrome b5 reductase 2	2.96264318	1.0218237	
NM_001916	1537.0	CYC1	cytochrome c-1	2.2208072999999997	1.4567723	
NM_014376	26999.0	CYFIP2	cytoplasmic FMR1 interacting protein 2	2.96084991	2.5903232000000003	
NM_134268	114757.0	CYGB	cytoglobin	3.55467363	0.0	
NM_032687	50626.0	CYHR1	cysteine/histidine-rich 1	1.8972898	3.9508566	
NM_000896	4051.0	CYP4F3	cytochrome P450, family 4, subfamily F, polypeptide 3	2.00029708	3.9508566	
NM_052954	116159.0	CYYR1	cysteine/tyrosine-rich 1	4.64874035	0.637618	
NM_015704	27351.0	D15Wsu75e	DNA segment, Chr 15, Wayne State University 75, expressed	2.98726408	0.637618	
NM_001344	1603.0	DAD1	defender against cell death 1	2.16632631	2.1038158	
NM_020548	1622.0	DBI	diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)	1.95585594	1.5613079	
NM_133507	1634.0	DCN	decorin	2.83729964	0.637618	
NM_001920	1634.0	DCN	decorin	2.95611904	0.637618	
NM_133505	1634.0	DCN	decorin	2.61630493	0.637618	
NM_133504	1634.0	DCN	decorin	2.95611904	0.637618	
NM_133503	1634.0	DCN	decorin	2.95611904	0.637618	
NM_133506	1634.0	DCN	decorin	2.75708055	0.637618	
NM_173475	123879.0	DCUN1D3	DCN1, defective in cullin neddylation 1, domain containing 3 (S. cerevisiae)	4.82705143	0.637618	
NM_024050	79016.0	DDA1	DDA1	2.71543446	3.9508566	
NM_001355	1652.0	DDT	D-dopachrome tautomerase	2.66790751	1.9393426	
NM_182540	203522.0	DDX26B	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B	0.33242009999999994	1.7079054	-3.00824168
NM_005804	10212.0	DDX39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39	2.10303228	3.797649	
NM_138998	10212.0	DDX39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39	2.10303228	3.797649	
NM_016222	51428.0	DDX41	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41	2.61128303	0.637618	
NM_021008	10522.0	DEAF1	deformed epidermal autoregulatory factor 1 (Drosophila)	2.03626504	2.5903232000000003	
NM_032998	9191.0	DEDD	death effector domain containing	1.98162136	2.4738185	
NM_005848	10260.0	DENND4A	DENN/MADD domain containing 4A	0.38991526	2.4912595	-2.564659819
NM_017925	55667.0	DENND4C	DENN/MADD domain containing 4C	0.32094779	2.3697766	-3.1157715710000002
NM_014015	28955.0	DEXI	dexamethasone-induced transcript	2.38974545	2.9727196	
NM_013406	1725.0	DHPS	deoxyhypusine synthase	1.94985224	3.753678	
NM_001930	1725.0	DHPS	deoxyhypusine synthase	2.11754316	2.4738185	
NM_013407	1725.0	DHPS	deoxyhypusine synthase	1.89033341	4.9341886	
NM_016245	51170.0	DHRS8	dehydrogenase/reductase (SDR family) member 8	0.26168703	3.6724242999999994	-3.821358666
NM_019030	54505.0	DHX29	DEAH (Asp-Glu-Ala-His) box polypeptide 29	0.34783227	1.7079054	-2.8749488939999996
NM_001001991	25891.0	DKFZP586H2123	regeneration associated muscle protease	5.19072355	0.0	
NM_015430	25891.0	DKFZP586H2123	regeneration associated muscle protease	5.19072355	0.0	
NM_005509	1657.0	DMXL1	Dmx-like 1	0.24196865	1.7079054	-4.132766786
NM_022365	64215.0	DNAJC1	DnaJ (Hsp40) homolog, subfamily C, member 1	0.37350582	3.9508566	-2.6773344519999998
NM_139072	92737.0	DNER	delta-notch-like EGF repeat-containing transmembrane	0.32092883	2.3697766	-3.115955647
NM_033407	85440.0	DOCK7	dedicator of cytokinesis 7	0.46704419	3.2351467	-2.141125019
NM_005510	1797.0	DOM3Z	dom-3 homolog Z (C. elegans)	1.95305181	2.0161834	
NM_013379	29952.0	DPP7	dipeptidyl-peptidase 7	2.58281124	1.4567723	
NM_000110	1806.0	DPYD	dihydropyrimidine dehydrogenase	0.38600727	3.753678	-2.590624783
NM_001938	1810.0	DR1	down-regulator of transcription 1, TBP-binding (negative cofactor 2)	2.04815605	2.3206861	
NM_006442	10589.0	DRAP1	DR1-associated protein 1 (negative cofactor 2 alpha)	2.84450578	2.3697766	
NM_020175	56931.0	DUS3L	dihydrouridine synthase 3-like (S. cerevisiae)	1.9880836	3.6724242999999994	
NM_001004023	8444.0	DYRK3	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3	2.00626625	1.4567723	
NM_003582	8444.0	DYRK3	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3	2.00626625	1.4567723	
NM_014648	9666.0	DZIP3	zinc finger DAZ interacting protein 3	0.34574829	2.0161834	-2.8922775
NM_024680	79733.0	E2F8	E2F transcription factor 8	0.2811798	2.4912595	-3.5564432439999996
NM_006579	10682.0	EBP	emopamil binding protein (sterol isomerase)	1.97443431	3.9508566	
NM_004425	1893.0	ECM1	extracellular matrix protein 1	0.17000645	1.7079054	-5.882129766
NM_022664	1893.0	ECM1	extracellular matrix protein 1	0.17000645	1.7079054	-5.882129766
NM_015902	51366.0	EDD1	E3 ubiquitin protein ligase, HECT domain containing, 1	0.34702486	2.0161834	-2.881637932
NM_153200	8721.0	EDF1	endothelial differentiation-related factor 1	2.02053902	3.9508566	
NM_024329	79180.0	EFHD2	EF-hand domain family, member D2	2.11700075	4.3199052	
NM_201282	1956.0	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	0.39907153	3.6724242999999994	-2.505816438
NM_017555	112398.0	EGLN2	egl nine homolog 2 (C. elegans)	2.16839848	1.219488	
NM_001966	1962.0	EHHADH	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	0.33268548	3.797649	-3.0058420339999996
NM_004879	9538.0	EI24	etoposide induced 2.4 mRNA	2.34762659	2.6012277000000004	
NM_001007277	9538.0	EI24	etoposide induced 2.4 mRNA	2.34762659	2.6012277000000004	
NM_003757	8668.0	EIF3S2	eukaryotic translation initiation factor 3, subunit 2 beta, 36kDa	1.7793291	4.6110465	
NM_003755	8666.0	EIF3S4	eukaryotic translation initiation factor 3, subunit 4 delta, 44kDa	2.6323576	1.4706181	
NM_004095	1978.0	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	3.93400594	0.637618	
NM_001970	1984.0	EIF5A	eukaryotic translation initiation factor 5A	1.87266726	3.3991674	
NM_032377	84337.0	ELOF1	elongation factor 1 homolog (S. cerevisiae)	2.85264971	0.637618	
NM_000117	2010.0	EMD	emerin (Emery-Dreifuss muscular dystrophy)	2.13247404	1.9982331000000002	
NM_006331	10436.0	EMG1	EMG1 nucleolar protein homolog (S. cerevisiae)	2.97875999	0.637618	
NM_001423	2012.0	EMP1	epithelial membrane protein 1	0.49598759	3.797649	-2.0161794769999997
NM_001424	2013.0	EMP2	epithelial membrane protein 2	1.90624909	2.3206861	
NM_207046	2029.0	ENSA	endosulfine alpha	2.80585452	2.3206861	
NM_207044	2029.0	ENSA	endosulfine alpha	2.15551723	3.797649	
NM_207042	2029.0	ENSA	endosulfine alpha	2.42844789	4.3199052	
NM_004436	2029.0	ENSA	endosulfine alpha	2.42844789	4.3199052	
NM_207047	2029.0	ENSA	endosulfine alpha	2.6510425	0.637618	
NM_207045	2029.0	ENSA	endosulfine alpha	2.80585452	2.3206861	
NM_207043	2029.0	ENSA	endosulfine alpha	2.15551723	3.797649	
NM_177996	2036.0	EPB41L1	erythrocyte membrane protein band 4.1-like 1	0.36174093	2.1038158	-2.764409325
NM_012156	2036.0	EPB41L1	erythrocyte membrane protein band 4.1-like 1	0.36174093	2.1038158	-2.764409325
NM_001431	2037.0	EPB41L2	erythrocyte membrane protein band 4.1-like 2	0.24971427	1.7079054	-4.004576911
NM_017449	2048.0	EPHB2	EPH receptor B2	1.67053624	3.9508566	
NM_014805	9852.0	EPM2AIP1	EPM2A (laforin) interacting protein 1	0.38217325	1.9393426	-2.6166143230000003
NM_202001	2067.0	ERCC1	excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)	3.78304828	0.637618	
NM_001983	2067.0	ERCC1	excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)	4.19914912	0.637618	
NM_001432	2069.0	EREG	epiregulin	0.16244104	1.7079054	-6.156079769
NM_004451	2101.0	ESRRA	estrogen-related receptor alpha	1.93293483	4.6110465	
NM_153448	80712.0	ESX1	extraembryonic, spermatogenesis, homeobox 1 homolog (mouse)	0.17850168	0.0	-5.60218817
NM_014297	23474.0	ETHE1	ethylmalonic encephalopathy 1	1.99598724	2.0161834	
NM_016042	51010.0	EXOSC3	exosome component 3	2.08005909	2.9727196	
NM_019037	54512.0	EXOSC4	exosome component 4	2.34775661	1.9982331000000002	
NM_020158	56915.0	EXOSC5	exosome component 5	3.62739016	0.637618	
NM_004265	9415.0	FADS2	fatty acid desaturase 2	1.6603371999999998	4.9341886	
NM_016044	51011.0	FAHD2A	fumarylacetoacetate hydrolase domain containing 2A	1.91812438	4.3199052	
NM_004459	2186.0	FALZ	fetal Alzheimer antigen	0.39667608	1.7079054	-2.520948578
NM_182641	2186.0	FALZ	fetal Alzheimer antigen	0.39667608	1.7079054	-2.520948578
NM_014077	26017.0	FAM32A	family with sequence similarity 32, member A	1.88059216	3.9508566	
NM_017633	55603.0	FAM46A	family with sequence similarity 46, member A	0.17226773	4.9341886	-5.804917729
NM_052943	115572.0	FAM46B	family with sequence similarity 46, member B	2.91704859	0.637618	
NM_030797	81553.0	FAM49A	family with sequence similarity 49, member A	2.27431111	0.637618	
NM_021238	58516.0	FAM60A	family with sequence similarity 60, member A	2.72636048	2.3206861	
NM_017938	55026.0	FAM70A	family with sequence similarity 70, member A	3.26977291	0.0	
NM_138435	113828.0	FAM83F	family with sequence similarity 83, member F	2.28024194	2.9727196	
NM_152832	23625.0	FAM89B	family with sequence similarity 89, member B	2.08137173	3.3991674	
NM_018062	55120.0	FANCL	Fanconi anemia, complementation group L	0.36415623	4.6110465	-2.746074123
NM_006712	10922.0	FASTK	Fas-activated serine/threonine kinase	2.0072658	3.9508566	
NM_033015	10922.0	FASTK	Fas-activated serine/threonine kinase	2.0072658	3.9508566	
NM_001436	2091.0	FBL	fibrillarin	2.64017936	0.637618	
NM_006486	2192.0	FBLN1	fibulin 1	0.25999464	1.7079054	-3.846233138
NM_001999	2201.0	FBN2	fibrillin 2 (congenital contractural arachnodactyly)	0.31189327	2.6012277000000004	-3.2062250010000004
NM_012157	25827.0	FBXL2	F-box and leucine-rich repeat protein 2	0.35056003	3.2351467	-2.8525784869999997
NM_012168	26232.0	FBXO2	F-box protein 2	3.05870063	0.637618	
NM_183420	26260.0	FBXO25	F-box protein 25	2.39296588	1.9393426	
NM_183421	26260.0	FBXO25	F-box protein 25	2.10181923	2.4738185	
NM_012173	26260.0	FBXO25	F-box protein 25	2.39296588	1.9393426	
NM_022039	6468.0	FBXW4	F-box and WD-40 domain protein 4	2.25711375	2.4738185	
NM_018998	54461.0	FBXW5	F-box and WD-40 domain protein 5	1.75439926	3.797649	
NM_002004	2224.0	FDPS	farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)	3.47616111	0.637618	
NM_005103	9638.0	FEZ1	fasciculation and elongation protein zeta 1 (zygin I)	2.15093572	1.4706181	
NM_004463	2245.0	FGD1	FYVE, RhoGEF and PH domain containing 1 (faciogenital dysplasia)	1.97674845	3.3991674	
NM_022975	2263.0	FGFR2	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	3.66850073	0.0	
NM_022972	2263.0	FGFR2	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	3.72805614	0.0	
NM_022970	2263.0	FGFR2	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	3.65530528	0.0	
NM_023028	2263.0	FGFR2	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	3.72805614	0.0	
NM_023030	2263.0	FGFR2	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	3.58209428	0.0	
NM_023029	2263.0	FGFR2	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	3.72805614	0.0	
NM_000141	2263.0	FGFR2	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	3.72805614	0.0	
NM_023031	2263.0	FGFR2	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	3.58209428	0.0	
NM_022969	2263.0	FGFR2	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	3.58209428	0.0	
NM_004468	2275.0	FHL3	four and a half LIM domains 3	2.12109306	4.6110465	
NM_016068	51024.0	FIS1	fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae)	2.70739408	1.4706181	
NM_016594	51303.0	FKBP11	FK506 binding protein 11, 19 kDa	2.13383971	3.6724242999999994	
NM_054014	2280.0	FKBP1A	FK506 binding protein 1A, 12kDa	3.11847865	1.9982331000000002	
NM_000801	2280.0	FKBP1A	FK506 binding protein 1A, 12kDa	4.7114843	0.637618	
NM_016105	51661.0	FKBP7	FK506 binding protein 7	2.09402006	0.637618	
NM_181342	51661.0	FKBP7	FK506 binding protein 7	2.09402006	0.637618	
NM_018352	55319.0	FLJ11184	hypothetical protein FLJ11184	2.30807056	2.4738185	
NM_032181	84141.0	FLJ13391	hypothetical protein FLJ13391	3.10677517	0.637618	
NM_024841	79899.0	FLJ14213	hypothetical protein FLJ14213	3.76760751	0.637618	
NM_032868	84954.0	FLJ14981	hypothetical protein FLJ14981	2.36135961	3.797649	
NM_207514	54849.0	FLJ20186	hypothetical protein FLJ20186	1.83602803	3.9508566	
NM_017875	54977.0	FLJ20551	hypothetical protein FLJ20551	2.15635092	3.6724242999999994	
NM_017967	55049.0	FLJ20850	hypothetical protein FLJ20850	2.30876627	2.4738185	
NM_024556	79607.0	FLJ21103	hypothetical protein FLJ21103	3.18142255	0.637618	
NM_021831	60509.0	FLJ21839	hypothetical protein FLJ21839	2.377269	3.753678	
NM_024578	79629.0	FLJ22709	hypothetical protein FLJ22709	2.88877021	1.9393426	
NM_152517	150737.0	FLJ30990	hypothetical protein FLJ30990	0.4673666	4.6110465	-2.139647977
NM_207504	401459.0	FLJ46365	FLJ46365 protein	0.11772453	1.7079054	-8.494406391
NM_001004422	114793.0	FMNL2	formin-like 2	0.36528441	3.753678	-2.73759288
NM_001004421	114793.0	FMNL2	formin-like 2	0.36528441	3.753678	-2.73759288
NM_052905	114793.0	FMNL2	formin-like 2	0.36528441	3.753678	-2.73759288
NM_001004417	114793.0	FMNL2	formin-like 2	0.36528441	3.753678	-2.73759288
NM_015308	23360.0	FNBP4	formin binding protein 4	0.42574897	2.9727196	-2.348801924
NM_022763	64778.0	FNDC3B	fibronectin type III domain containing 3B	0.46125878	3.6724242999999994	-2.167980412
NM_022823	64838.0	FNDC4	fibronectin type III domain containing 4	2.04591616	2.0161834	
NM_016729	2348.0	FOLR1	folate receptor 1 (adult)	2.53527773	2.5903232000000003	
NM_000802	2348.0	FOLR1	folate receptor 1 (adult)	2.53527773	2.5903232000000003	
NM_016725	2348.0	FOLR1	folate receptor 1 (adult)	2.53527773	2.5903232000000003	
NM_016731	2348.0	FOLR1	folate receptor 1 (adult)	2.53527773	2.5903232000000003	
NM_016724	2348.0	FOLR1	folate receptor 1 (adult)	2.53527773	2.5903232000000003	
NM_016730	2348.0	FOLR1	folate receptor 1 (adult)	2.53527773	2.5903232000000003	
NM_000804	2352.0	FOLR3	folate receptor 3 (gamma)	5.48783348	0.637618	
NM_017547	55572.0	FOXRED1	FAD-dependent oxidoreductase domain containing 1	2.31535131	0.637618	
NM_007085	11167.0	FSTL1	follistatin-like 1	0.44822259999999997	4.9341886	-2.231034312
NM_177439	24140.0	FTSJ1	FtsJ homolog 1 (E. coli)	2.55430808	1.4567723	
